what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Oracle Corporation",1384546067493
java.specification.version,sysinfo,,,"1.7",1384546067493
java.vendor,sysinfo,,,"Oracle Corporation",1384546067493
java.version,sysinfo,,,"1.7.0_45",1384546067493
java.vm.info,sysinfo,,,"mixed mode",1384546067493
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1384546067493
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1384546067493
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1384546067493
java.vm.specification.version,sysinfo,,,"1.7",1384546067493
java.vm.vendor,sysinfo,,,"Oracle Corporation",1384546067493
java.vm.version,sysinfo,,,"24.45-b08",1384546067493
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1384546067494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384546071010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384546092961
started,bundle,org.eclipse.wb.core.ui,1.3.0.r37x201202052340,"org.eclipse.wb.core.ui",1384546095657
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1384546102381
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1384546102383
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1384546102405
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1384546102411
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1384546102417
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1384546102418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384546102532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384546103614
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1384546115738
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1384546115750
