what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1384544805054
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1384544805054
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1384544805054
java.vm.specification.version,sysinfo,,,"1.7",1384544805054
java.vm.vendor,sysinfo,,,"Oracle Corporation",1384544805054
java.vm.version,sysinfo,,,"24.45-b08",1384544805054
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1384544805056
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1384544811939
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1384544812320
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1384544812322
started,bundle,com.google.gdt.eclipse.designer.wizards,3.1.2.r37x201305212016,"com.google.gdt.eclipse.designer.wizards",1384544812343
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1384544821047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544821124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544822419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1384544822424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544826409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544842473
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384544842834
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384544842931
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1384544842974
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1384544843305
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384544844778
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384544844779
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1384544848731
started,bundle,com.google.gdt.eclipse.designer.GXT.databinding,3.1.2.r37x201305212016,"com.google.gdt.eclipse.designer.GXT.databinding",1384544848747
started,bundle,org.eclipse.wb.rcp.databinding,1.6.0.r37x201305212028,"org.eclipse.wb.rcp.databinding",1384544848751
started,bundle,org.eclipse.wb.swing.databinding,1.6.0.r37x201305212042,"org.eclipse.wb.swing.databinding",1384544848753
started,bundle,org.eclipse.wb.core.xml,1.6.0.r37x201305211955,"org.eclipse.wb.core.xml",1384544848855
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1384544848931
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1384544849002
started,bundle,org.eclipse.wb.core.ui,1.6.0.r37x201305211950,"org.eclipse.wb.core.ui",1384544856793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544921288
started,bundle,org.eclipse.wb.runtime.lib,1.6.0.r37x201305211944,"org.eclipse.wb.runtime.lib",1384544921332
started,bundle,org.eclipse.wb.swt,1.6.0.r37x201305212024,"org.eclipse.wb.swt",1384544921373
started,bundle,org.eclipse.wb.rcp,1.6.0.r37x201305212028,"org.eclipse.wb.rcp",1384544921374
started,bundle,com.google.gdt.eclipse.designer.GWTExt,3.1.2.r37x201305212016,"com.google.gdt.eclipse.designer.GWTExt",1384544921399
started,bundle,org.eclipse.wb.rcp.nebula,1.6.0.r37x201305212028,"org.eclipse.wb.rcp.nebula",1384544921406
started,bundle,org.eclipse.wb.swing,1.6.0.r37x201305212042,"org.eclipse.wb.swing",1384544921408
started,bundle,org.eclipse.wb.swing.FormLayout,1.6.0.r37x201305212042,"org.eclipse.wb.swing.FormLayout",1384544921418
started,bundle,org.eclipse.wb.xwt,1.6.0.r37x201305212050,"org.eclipse.wb.xwt",1384544921426
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1384544921475
started,bundle,org.eclipse.pde,3.7.2.v201202080800,"org.eclipse.pde",1384544921489
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1384544921514
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1384544921516
