what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1385253963420
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1385253963420
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1385253963421
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1385253963421
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1385253963421
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1385253963422
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1385253963422
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1385253963422
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1385253963423
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1385253963423
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1385253963423
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1385253963424
started,bundle,com.google.gdt.eclipse.designer,3.1.2.r37x201305212009,"com.google.gdt.eclipse.designer",1385253963424
started,bundle,com.google.gdt.eclipse.designer.GXT,3.1.2.r37x201305212016,"com.google.gdt.eclipse.designer.GXT",1385253963424
started,bundle,com.google.gdt.eclipse.designer.GXT.databinding,3.1.2.r37x201305212016,"com.google.gdt.eclipse.designer.GXT.databinding",1385253963424
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,3.1.2.r37x201305212016,"com.google.gdt.eclipse.designer.SmartGWT",1385253963424
started,bundle,com.google.gdt.eclipse.designer.UiBinder,3.1.2.r37x201305212009,"com.google.gdt.eclipse.designer.UiBinder",1385253963425
started,bundle,com.google.gdt.eclipse.designer.hosted,3.1.2.r37x201305212000,"com.google.gdt.eclipse.designer.hosted",1385253963425
started,bundle,org.eclipse.wb.core,1.6.0.r37x201305211944,"org.eclipse.wb.core",1385253963425
started,bundle,org.eclipse.wb.core.java,1.6.0.r37x201305211947,"org.eclipse.wb.core.java",1385253963425
started,bundle,org.eclipse.wb.core.lib,1.6.0.r37x201305211944,"org.eclipse.wb.core.lib",1385253963426
started,bundle,org.eclipse.wb.core.xml,1.6.0.r37x201305211955,"org.eclipse.wb.core.xml",1385253963426
started,bundle,org.eclipse.wb.rcp.databinding,1.6.0.r37x201305212028,"org.eclipse.wb.rcp.databinding",1385253963426
started,bundle,org.eclipse.wb.swing.databinding,1.6.0.r37x201305212042,"org.eclipse.wb.swing.databinding",1385253963426
os,sysinfo,,,"win32",1385253963428
arch,sysinfo,,,"x86_64",1385253963428
ws,sysinfo,,,"win32",1385253963428
locale,sysinfo,,,"en_US",1385253963428
processors,sysinfo,,,"4",1385253963428
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1385253963428
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1385253963428
java.specification.name,sysinfo,,,"Java Platform API Specification",1385253963428
java.specification.vendor,sysinfo,,,"Oracle Corporation",1385253963428
java.specification.version,sysinfo,,,"1.7",1385253963428
java.vendor,sysinfo,,,"Oracle Corporation",1385253963428
java.version,sysinfo,,,"1.7.0_45",1385253963428
java.vm.info,sysinfo,,,"mixed mode",1385253963428
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1385253963428
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1385253963428
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1385253963428
java.vm.specification.version,sysinfo,,,"1.7",1385253963428
java.vm.vendor,sysinfo,,,"Oracle Corporation",1385253963428
java.vm.version,sysinfo,,,"24.45-b08",1385253963428
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1385253963430
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1385253964476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385253964605
